module,frac,noise
344613892,0.0008386,0.0001367
344614916,0.0008419,0.000138
344617988,0.0008394,0.0001357
344619012,0.0008426,0.0001326
344622084,0.0008245,0.0001386
344623108,0.0008392,0.0001409
344626180,0.0008183,0.0001832
344627204,0.0008329,0.0001356
344630276,0.00082,0.0001538
344631300,0.0008364,0.0001424
344634372,0.0008304,0.0001417
344635396,0.0008344,0.0001399
344638468,0.0008362,0.0001417
344639492,0.0008415,0.0001391
344642564,0.0008411,0.0001405
344643588,0.0008506,0.0001396
344646660,0.0008459,0.0001412
344647684,0.0008514,0.0001492
344650756,0.0008473,0.0001513
344651780,0.0008544,0.0001534
344654852,0.000857,0.000161
344655876,0.0008469,0.0001612
344658948,0.0008298,0.0001593
344659972,0.0008615,0.001735
344663044,0.0008642,0.0001548
344667140,0.0008642,0.0001439
344671236,0.0008512,0.0001406
344672260,0.001084,0.01186
344675332,0.0008704,0.0001356
344676356,0.0008627,0.000174
344679428,0.000868,0.0001401
344680452,0.0008596,0.0001597
344683524,0.0008604,0.0001452
344684548,0.0008809,0.0001446
344687620,0.0008808,0.0001467
344688644,0.0008839,0.0001425
344732676,0.002461,0.0007918
344737796,0.002476,0.001004
344749060,0.002357,0.0003661
344750084,0.002399,0.0003798
344753156,0.002356,0.0003812
344754180,0.002371,0.0003961
344757252,0.002353,0.0004273
344762372,0.002306,0.0004505
344765444,0.002208,0.0005028
344773636,0.002275,0.0004873
344774660,0.002272,0.000477
344777732,0.002233,0.0005343
344778756,0.002271,0.000409
344785924,0.002299,0.0004994
344790020,0.00237,0.0004111
344806404,0.002468,0.0004168
